"","treeID","nodeID","parmID","contPT","mwcpSZ"
"419",8,4,1,56,0
"420",8,4,0,NA,0
"421",8,16,1,63,0
"422",8,16,1,60,0
"423",8,16,1,58,0
"424",8,16,0,NA,0
"425",8,19,0,NA,0
"426",8,18,1,62,0
"427",8,18,1,61,0
"428",8,18,0,NA,0
"429",8,21,0,NA,0
"430",8,20,0,NA,0
"431",8,17,1,64,0
"432",8,17,0,NA,0
"433",8,22,1,65,0
"434",8,22,0,NA,0
"435",8,23,0,NA,0
"436",8,3,1,71,0
"437",8,3,1,69,0
"438",8,3,1,67,0
"439",8,3,0,NA,0
"440",8,26,1,68,0
"441",8,26,0,NA,0
"442",8,27,0,NA,0
"443",8,25,0,NA,0
"444",8,24,0,NA,0
"445",9,1,1,68,0
"446",9,1,1,40,0
"447",9,1,1,38,0
"448",9,1,1,37,0
"449",9,1,0,NA,0
"450",9,5,0,NA,0
"451",9,4,1,39,0
"452",9,4,0,NA,0
"453",9,6,0,NA,0
"454",9,3,1,63,0
"455",9,3,1,60,0
"456",9,3,1,52,0
"457",9,3,1,50,0
"458",9,3,1,47,0
"459",9,3,1,46,0
"460",9,3,1,42,0
"461",9,3,0,NA,0
"462",9,13,1,43,0
"463",9,13,0,NA,0
"464",9,14,0,NA,0
"465",9,12,0,NA,0
"466",9,11,1,49,0
"467",9,11,1,48,0
"468",9,11,0,NA,0
"469",9,16,0,NA,0
"470",9,15,0,NA,0
"471",9,10,0,NA,0
"472",9,9,1,54,0
"473",9,9,0,NA,0
"474",9,17,1,56,0
"475",9,17,0,NA,0
"476",9,18,1,57,0
"477",9,18,0,NA,0
"478",9,19,0,NA,0
"479",9,8,1,61,0
"480",9,8,0,NA,0
"481",9,20,1,62,0
"482",9,20,0,NA,0
"483",9,21,0,NA,0
"484",9,7,1,64,0
"485",9,7,0,NA,0
"486",9,22,1,67,0
"487",9,22,1,65,0
"488",9,22,0,NA,0
"489",9,24,1,66,0
"490",9,24,0,NA,0
"491",9,25,0,NA,0
"492",9,23,0,NA,0
"493",9,2,1,71,0
"494",9,2,1,70,0
"495",9,2,1,69,0
"496",9,2,0,NA,0
"497",9,28,0,NA,0
"498",9,27,0,NA,0
"499",9,26,0,NA,0
"500",10,1,1,35,0
"501",10,1,1,34,0
"502",10,1,0,NA,0
"503",10,3,0,NA,0
"504",10,2,1,68,0
"505",10,2,1,44,0
"506",10,2,1,43,0
"507",10,2,1,36,0
"508",10,2,0,NA,0
"509",10,7,1,40,0
"510",10,7,1,39,0
"511",10,7,0,NA,0
"512",10,9,0,NA,0
"513",10,8,1,42,0
"514",10,8,0,NA,0
"515",10,10,0,NA,0
"516",10,6,0,NA,0
"517",10,5,1,58,0
"518",10,5,1,56,0
"519",10,5,1,52,0
"520",10,5,1,49,0
"521",10,5,1,48,0
"522",10,5,1,47,0
"523",10,5,0,NA,0
"524",10,16,0,NA,0
"525",10,15,0,NA,0
"526",10,14,1,50,0
"527",10,14,0,NA,0
"528",10,17,0,NA,0
"529",10,13,0,NA,0
"530",10,12,0,NA,0
"531",10,11,1,63,0
"532",10,11,1,61,0
"533",10,11,1,60,0
"534",10,11,0,NA,0
"535",10,20,0,NA,0
"536",10,19,1,62,0
"537",10,19,0,NA,0
"538",10,21,0,NA,0
"539",10,18,1,64,0
"540",10,18,0,NA,0
"541",10,22,1,67,0
"542",10,22,1,66,0
"543",10,22,1,65,0
"544",10,22,0,NA,0
"545",10,25,0,NA,0
"546",10,24,0,NA,0
"547",10,23,0,NA,0
"548",10,4,1,70,0
"549",10,4,1,69,0
"550",10,4,0,NA,0
"551",10,27,0,NA,0
"552",10,26,1,72,0
"553",10,26,1,71,0
"554",10,26,0,NA,0
"555",10,29,0,NA,0
"556",10,28,0,NA,0
"557",11,1,1,35,0
"558",11,1,0,NA,0
"559",11,2,1,49,0
"560",11,2,1,48,0
"561",11,2,1,45,0
"562",11,2,1,38,0
"563",11,2,1,37,0
"564",11,2,0,NA,0
"565",11,7,0,NA,0
"566",11,6,1,44,0
"567",11,6,1,43,0
"568",11,6,1,42,0
"569",11,6,1,39,0
"570",11,6,0,NA,0
"571",11,11,0,NA,0
"572",11,10,0,NA,0
"573",11,9,0,NA,0
"574",11,8,0,NA,0
"575",11,5,1,47,0
"576",11,5,0,NA,0
"577",11,12,0,NA,0
"578",11,4,0,NA,0
"579",11,3,1,58,0
"580",11,3,1,53,0
"581",11,3,1,52,0
